Gum_name,Caff_per_piece,Price_per_pack,Page_url,Flavor
"Military Energy Gum
(Formerly Stay Alert Gum)",100.0,1.28,https://www.caffeineinformer.com/caffeine-content/stay-alert-us-army,mint
"Military Energy Gum
(Formerly Stay Alert Gum)",100.0,1.28,https://www.caffeineinformer.com/caffeine-content/stay-alert-us-army,cinnamon
Apollo Energy Gum,80.0,2.6,http://www.apolloenergygum.com/,spearmint
Blitz Energy Gum,55.0,2.45,None,mint original
X8 Energy Gum,50.0,4.99,https://www.caffeineinformer.com/caffeine-content/x8-energy-gum,mint
Jolt Gum,45.0,2.49,https://www.caffeineinformer.com/caffeine-content/jolt-gum,mint
Vibe Energy Gum,40.5,3.99,https://www.caffeineinformer.com/vibe-energy-gum,mint
RockStar Gum,40.0,1.99,None,mint
RockStar Gum,40.0,1.99,None,orange
Amp Energy Gum,40.0,2.99,None,citrus
Mad Croc Gum,40.0,2.12,https://www.caffeineinformer.com/caffeine-content/mad-croc-gum,peppermint
Mad Croc Gum,40.0,2.12,https://www.caffeineinformer.com/caffeine-content/mad-croc-gum,cinnamon
Mini Thin Rush Gum,40.0,1.99,None,spearmint
Mini Thin Rush Gum,40.0,1.99,None,cinnamon
Wrigley’s Alert Energy Gum,40.0,2.99,None,fruit
Wrigley’s Alert Energy Gum,40.0,2.99,None,mint
VE2 Energy Gum,35.0,1.69,https://www.caffeineinformer.com/ve2-energy-gum,mint
Think Gum,10.0,2.99,https://www.caffeineinformer.com/caffeine-content/think-gum,peppermint
Black Back Gum,5.0,2.31,None,mint
Plow On Energy Gum,100.0,2.99,https://www.caffeineinformer.com/caffeine-content/plow-on-energy-gum,spearmint
Java Gum,65.0,2.99,https://www.caffeineinformer.com/caffeine-content/java-caffeinated-gum,peppermint or spearmint
OneGum (Europe),50.0,3.5,http://www.onegum.eu/,mint
Neurogum,40.0,2.9,https://www.caffeineinformer.com/caffeine-content/neurogum,fresh mint
Zestel Energy Gum,20.0,2.98,http://zestelgum.com/,spearmint
Energy Bombs Chewing Gum,40.0,2.99,http://www.energy-bombs.com,mint
Energy Bombs Chewing Gum,40.0,2.99,http://www.energy-bombs.com,cinnamon
Bold Gum,100.0,2.99,None,arctic mint
Bold Gum,100.0,2.99,None,spearmint
Bold Gum,100.0,2.99,None,cinnamon
Run Gum,50.0,1.87,https://www.caffeineinformer.com/caffeine-content/run-gum,mint
Run Gum,50.0,1.87,https://www.caffeineinformer.com/caffeine-content/run-gum,fruit
Run Gum,50.0,1.87,https://www.caffeineinformer.com/caffeine-content/run-gum,cinnamon
Vivarin Gum,40.0,2.67,None,mint
Rev Energy Gum,100.0,3.0,None,spearmint
Game Gum,20.0,2.5,None,spearmint
Zenergy Gum,50.0,3.75,None,mint
Alert 5 Gum,40.0,2.48,None,mint
Simply Gum – Awaken,12.0,3.33,None,peppermint
Fly Gum,80.0,3.4,None,mint
Golf Gum,80.0,3.4,None,spearmint
Block Head Energy Gum,50.0,3.4,None,peppermint
On Demand Chew Pod,50.0,3.99,None,mint
